周期,日期,指数,指数择时,指数特点,盘前检查,中级周期,情绪节点,大盘指数,微盘指数,日内强势题材,题材档位,,,情绪,,,,是否开仓,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/9,"V杀,震荡开",,震荡,是,B,混沌,,,军工，机器人，消费,,,,"多核心反核,大面数减少",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/12,"向上大阳,大高开",,共振,是,B,修复--强,,,军工，机器人,,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/13,"宽幅震荡,大高开",,共振,是,A,主升--加速,,,军工，航运，化工,,,,"多核心反核,无大面",加速,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/14,"向上大阳,震荡开",,共振,是,A,主升--高潮,,,军工，机器人，航运，化工,,,,"多核心反核,大面数减少",弱转强,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/15,"向下杀跌,震荡开",,震荡,是,A,主升--分歧,,,航运，化工，纺织，消费,,,,"多核心反核,无大面",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/16,"向下杀跌,震荡开",,共振,是,A,主升--延续,,,机器人，军工，化工，汽车,,,,"多核心反核,无大面",弱转强,分歧,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/19,"宽幅震荡,震荡开",,震荡,是,A,日内分歧转一致,,,汽车，航运，重组，房地产,,,,"多核心反核,无大面",分歧,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/20,"向上大阳,震荡开",,震荡,是,A,主升--分歧,,,重组，消费，AI，军工,,,,"单核心反核,无大面",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/21,"宽幅震荡,震荡开",,震荡,是,A,退潮,,,重组，电池，医药,,,,"多核心反核,无大面",弱转强,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/22,"A杀,宽幅震荡",,震荡,是,A,退潮,,,重组，机器人，军工,,,,"单核心反核,大面数减少",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/23,"向下杀跌,震荡开",,背离,是,A,修复--弱,,,医药，机器人，核聚变,,,,"多核心反核,大面数减少",分歧,分歧,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/26,"A杀,震荡开",,背离,是,A,混沌,,,重组，核聚变，IP,,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/27,"向下杀跌,震荡开",,背离,是,A,修复--中等,,,核聚变，消费，ip,,,,"单核心反核,无大面",分歧,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/28,"宽幅震荡,震荡开",,震荡,否,A,混沌分歧,,,农药，无人驾驶，核,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/29,"向上大阳,震荡开",,止跌阳,是,A,修复--中等,,,无人，核聚变，区块链,,,,"多核心反核,大面数减少",弱转强,加速,4,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/5/30,"向下杀跌,震荡开",,背离,是,A,退潮,,,区块链，医药,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/3,"宽幅震荡,大低开",,震荡,是,A,修复--中等,,,区块链，无人,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/4,"向上大阳,震荡开",,共振,是,B,混沌,,,固态，消费,,,,"多核心反核,大面数减少",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/5,"小步碎阳,宽幅震荡,震荡开",,共振,是,B,混沌,,,电厂，算力，区块链,,,,"多核心反核,大面数增加",弱转强,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/6,"小步碎阳,宽幅震荡,震荡开",,共振,是,B,混沌,,,区块链路，农药,,,,"多核心反核,大面数减少",分歧,加速,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/9,"小步碎阳,震荡开",,共振,是,B,修复--强,,,区块链，金融，医药,,,,"多核心反核,无大面",弱转强,中规中矩,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/10,"向下杀跌,震荡开",,箱体上延,是,B,日内分歧未转一致,,,医药，机器人，体育，固态,,,,"多核心反核,无大面",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/11,"向上大阳,震荡开",,共振,是,B,退潮,,,汽车零部件，医药,,,,"单核心反核,无大面",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/12,"宽幅震荡,震荡开",,共振,是,B,修复--中等,,,区块链，ip经济,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/13,"向下杀跌,震荡开",,震荡,是,B,退潮,,,区块链，石油，医药，稀土,,,,"单核心反核,大面数减少",分歧,中规中矩,1,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/16,"小步碎阳,震荡开",,震荡,是,B,修复--中等,,,石油，区块链，医药,,,,"单核心反核,大面数减少",弱转强,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/17,"宽幅震荡,震荡开",,震荡,是,B,混沌,,,石油，区块链 化工,,,,"多核心反核,无大面",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/18,"V杀,震荡开",,震荡,是,B,混沌,,,脑机，石油，区块链,,,,"多核心反核,无大面",弱转强,中规中矩,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/19,"向下杀跌,大低开",,背离,是,B,退潮,,,区块链，石油，固态,,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
主升周期,2025/6/20,"小步碎阳,大低开",,震荡,是,B,修复--弱,,,PCB，固态，光伏，石油,,,,"单核心反核,大面数增加",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/23,"向上大阳,大低开",,止跌阳,是,B,修复--强,,,巴以，固态，区块链，半导体,,,,"多核心反核,大面数减少",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/24,"向上大阳,震荡开",,共振,是,C,主升--确认,,,区块链，固态，无人,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/25,"向上大阳,震荡开",,共振,是,C,主升--高潮,,,大金融，军工，固态，芯片,,,,"单核心反核,大面数减少",分歧,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/26,"向下阴跌,震荡开",,共振,是,C,主升-加速转衰竭,,,金融，军工，固态，区块链,,,,"多核心反核,无大面",分歧,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/27,"向下杀跌,震荡开",,共振,是,C,修复--中等,,,"固态，金融，区块链,半导体",,,,"多核心反核,无大面",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/6/30,"小步碎阳,震荡开",,震荡,是,C,主升--延续,,,军工，芯片，算力，机器人,,,,"多核心反核,大面数减少",分歧,加速,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/1,"小步碎阳,震荡开",,震荡,是,B,主升--分歧,,,芯片，军工，核聚变,,,,"单核心反核,无大面",加速,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/2,"宽幅震荡,震荡开",,震荡,是,B,退潮,,,海洋，医药，芯片，军工,,,,"单核心反核,大面数增加",分歧,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
主升周期,2025/7/3,"宽幅震荡,震荡开",,共振,是,B,修复--中等,,,医药，芯片，海洋，光伏,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/4,"A杀,震荡开",,共振,是,B,退潮,,,医药，区块链，电力,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/7,"宽幅震荡,大低开",,共振,是,B,修复--中等,,,医药，区块链，电力，消费,,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/8,"向上大阳,震荡开",,共振,是,B,主升--确认,,,光伏，电力，芯片,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/9,"A杀,震荡开",,共振,是,B,主升--高潮,,,机器人，光伏，区块链,,,,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/10,"向上大阳,震荡开",,共振,是,B,主升--分歧,,,医药，光伏，地产,,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/11,"A杀,震荡开",,共振,是,B,修复--弱,,,区块链，地产，医药，稀土,,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/14,"小步碎阳,大高开",,共振,是,B,混沌,,,机器人，医药，电力,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/15,"V杀,震荡开",,共振,是,B,退潮,,,稀土，业绩，机器人,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/7/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主升周期,2025/8/11,"向上大阳,震荡开",,共振,是,A,修复--强,,,新疆，机器人，军工,,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/12,"向上大阳,震荡开",,共振,是,A,日内分歧转一致,,,新疆，机器人,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/13,"向上大阳,震荡开",,共振,是,A,主升--高潮,,,机器人，军工，AI硬件,,,,"多核心反核,无大面",弱转强,加速,4,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/14,宽幅震荡,,共振,是,A,主升--分歧,,,"机器人，军工，AI硬件,稳定币",,,,"多核心反核,大面数增加",分歧,加速,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/15,"向上大阳,震荡开",,共振,是,C,修复--中等,,,AI硬件，机器人，芯片,,,,"多核心反核,无大面",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/18,"向上大阳,大高开",,共振,是,C,加速,,,AI硬件，机器人，芯片,,,,"多核心反核,大面数增加",加速,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/19,宽幅震荡,,共振,是,C,日内分歧转一致,,,AI硬件，机器人，医药,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/20,"向上大阳,大低开",,共振,是,C,退潮,,,机器人，消费电子,,,,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/21,"宽幅震荡,震荡开",,共振,是,C,冰点,,,区块链，机器人，消费,,,,"单核心反核,大面数增加",分歧,分歧,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/22,"向上大阳,震荡开",,共振,是,C,修复--强,,,AI硬件，芯片,,,,"多核心反核,大面数减少",分歧,加速,3,"买入核心,买入超预期",,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/25,"向上大阳,大高开",,共振,是,C,日内分歧转一致,,,AI硬件，芯片，消费，医药,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/26,"向下阴跌,大低开",,共振,是,C,主升--分歧,1.49,-0.26,芯片，消费电子,,,,"多核心反核,大面数增加",弱转强,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/27,向下杀跌,,背离,是,C,退潮,-1.38,-3.38,芯片，业绩,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/28,"V杀,震荡开",,共振,是,C,日内分歧转一致,1.93,-0.8,芯片，PCB，消费,,,,"多核心反核,大面数增加",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/8/29,"小步碎阳,震荡开",,共振,是,C,退潮,0.72,-1.16,芯片，锂电池，消费，军工,,,,"单核心反核,大面数增加",加速,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/1,"小步碎阳,震荡开",,共振,是,C,修复--中等,0.39,1.46,芯片，医药，AI硬，黄金,,,,"多核心反核,大面数减少",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/2,"向下杀跌,震荡开",,背离,是,B,退潮,-1.02,-0.47,锂电池，光伏，机器人,,,,"无明显反核,大面数增加",加速,中规中矩,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/3,"向下杀跌,震荡开",,背离,是,B,退潮,-1.14,-1.91,机器人，影视，固态,,,,"多核心反核,大面数增加",加速,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/4,"向下杀跌,大低开",,背离,是,B,退潮,-2.05,0.49,消费，能源，机器人,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
主升周期,2025/9/5,"向上大阳,震荡开",,震荡,是,B,修复--中等,1.82,1.51,"锂电池,机器人，光伏",,,,"多核心反核,大面数减少",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/8,"宽幅震荡,震荡开",,震荡,是,B,混沌,0.51,2.71,机器人，锂电池,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/9,"向下杀跌,大低开",,震荡,是,B,短线情绪确认,-0.53,-0.1,机器人，黄金，消费,,,,"多核心反核,大面数增加",弱转强,中规中矩,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/10,"宽幅震荡,震荡开",,震荡,是,B,修复--中等,0.2,0.74,科技，消费，AI应用,,,,"多核心反核,无大面",加速,分歧,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/11,"小步碎阳,宽幅震荡",,共振,是,A,主升--高潮,2.16,0.4,科技，机器人,,,,"多核心反核,无大面",分歧,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/12,"宽幅震荡,震荡开",,共振,是,A,主升--加速,-0.59,-0.44,机器人，地产，科技,,,,"单核心反核,无大面",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/15,"宽幅震荡,大高开",,震荡,是,A,日内分歧转一致,-0.01,-0.24,"机器人，固态,新能源车",,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/16,"宽幅震荡,震荡开",,震荡,是,A,修复--中等,-0.04,1.33,机器人，科技，物流，消费,,,,"多核心反核,无大面",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/17,"小步碎阳,震荡开",,震荡,是,A,主升--延续,0.55,-0.25,机器人，科技，光伏,,,,"多核心反核,无大面",分歧,加速,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/18,"A杀,震荡开",,震荡,是,A,主升--高潮,-1.09,-2.16,机器人，科技,,,,"单核心反核,无大面",加速,加速,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/19,"向下阴跌,震荡开",,震荡,是,B,退潮,-0.05,-0.78,机器人，科技,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/22,"宽幅震荡,震荡开",,震荡,是,B,修复--中等,0.63,-0.94,机器人，科技,,,,"多核心反核,大面数增加",分歧,加速,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/23,"V杀,震荡开",,背离,是,B,冰点转折,-0.17,-1.51,机器人，科技,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/24,"向上大阳,震荡开",,共振,是,B,修复--中等,0.76,2.3,芯片，机器人，房地产,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/25,"宽幅震荡,震荡开",,震荡,是,B,混沌,0.47,-0.63,科技，机器人,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/26,"宽幅震荡,震荡开",,震荡,是,B,混沌,-0.92,0.14,风电，芯片，机器人,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/9/29,"向上大阳,震荡开",,震荡,是,B,修复--中等,1.54,1.12,电池，金融，芯片,,,,"多核心反核,大面数减少",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/9,"向上大阳,大高开",,震荡,否,B,混沌,1.69,-0.82,芯片，核聚变，有色,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/10,"宽幅震荡,大低开",,震荡,否,B,退潮,-1.66,0.86,消费，机器人，芯片,,,,"无明显反核,大面数增加",分歧,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/13,"向上大阳,大低开",,震荡,否,B,冰点转折,-0.31,0.11,稀土，核聚变，芯片,,,,"多核心反核,大面数增加",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/14,"向下杀跌,大高开",,震荡,是,B,加速转衰竭,-1.1,-0.2,消费，核聚变,,,,"单核心反核,大面数增加",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/15,"向上大阳,震荡开",,共振,是,B,退潮,1.3,1.2,机器人，光伏，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/16,"宽幅震荡,震荡开",,震荡,是,B,修复--弱,0.21,-0.71,能源，芯片，航运,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/17,"向下杀跌,震荡开",,震荡,是,B,冰点,-2.26,-0.97,芯片，消费,,,,"多核心反核,大面数增加",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/20,"向上大阳,大高开",,止跌阳,是,B,修复--中等,0.35,2.29,芯片，煤炭能源，光通信,,,,"单核心反核,大面数减少",分歧,加速,3,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/21,"向上大阳,大高开",,共振,是,B,短线情绪确认,1.33,2.22,深地，湖北国改，消费,,,,"多核心反核,无大面",弱转强,分歧,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/22,"宽幅震荡,大低开",,震荡,是,A,主升--加速,-0.27,0.87,深地，国改，地产，医药,,,,"多核心反核,大面数增加",加速,加速,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/23,"V杀,大低开",,震荡,是,A,日内分歧转一致,0.25,0.75,煤炭，深圳，量子计算，消费,,,,"无明显反核,大面数增加",加速,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/24,"向上大阳,大高开",,共振,是,A,退潮,1.17,0.81,航天，存储芯片,,,,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/27,"向上大阳,大高开",,共振,是,A,修复--中等,1.51,0.12,芯片，台湾，核聚变,,,,"多核心反核,大面数减少",加速,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/28,"A杀,震荡开",,共振,是,A,混沌,-0.62,0.38,台湾，PCB，机器人,,,,"单核心反核,大面数增加",加速,加速,3,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/29,震荡开,,震荡,是,A,混沌分歧,1.38,-1.06,业绩，PCB，固态,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/30,"宽幅震荡,震荡开",,震荡,是,A,混沌分歧,-0.74,-0.26,锂电池，业绩,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/10/31,宽幅震荡,,震荡,是,A,退潮,-1.52,1.68,锂电池，业绩，台湾，机器人,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/3,宽幅震荡,,震荡,是,A,混沌,0.25,1.81,核聚变，海南，云计算,,,,"多核心反核,大面数增加",加速,分歧,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/4,"向下杀跌,震荡开",,震荡,是,A,短线情绪确认,-0.81,0.58,台湾，电力,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/5,"向上大阳,大低开",,震荡,是,A,,0.02,1.2,电力，海南，光伏,,,,"多核心反核,无大面",分歧,加速,3,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/6,"向上大阳,震荡开",,共振,是,A,退潮,1.53,-0.08,电力，核聚变，有色,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/7,"宽幅震荡,震荡开",,共振,是,A,修复--中等,-0.32,0.1,锂电池，光伏,,,,"多核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/10,"小步碎阳,宽幅震荡",,共振,是,A,加速转衰竭,0.55,0.73,消费，锂电池，光伏,,,,"多核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/11,"向下杀跌,宽幅震荡",,共振,是,A,修复--中等,-1.04,0.52,消费，锂电池，光伏,,,,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/12,"宽幅震荡,震荡开",,震荡,是,A,日内分歧转一致,-0.23,0.02,消费，锂电池,,,,"单核心反核,大面数增加",加速,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/13,"向上大阳,震荡开",,共振,是,A,主升--高潮,0.86,0.62,消费，锂电池,,,,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/14,"宽幅震荡,震荡开",,背离,是,A,日内分歧转一致,-1.71,1.09,台湾，锂电池，医药，海南,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/17,"向下阴跌,震荡开",,背离,是,A,主升--加速,-0.43,0.52,台湾，锂电池，AI应用,,,,"多核心反核,大面数减少",加速,中规中矩,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/18,"向下杀跌,大低开",,背离,是,A,退潮,-0.75,-0.46,AI应用，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/19,"宽幅震荡,震荡开",,止跌阳,是,A,修复--弱,0.39,-2.4,消费，水产，台湾,,,,"单核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/20,"向下阴跌,震荡开",,背离,是,A,冰点转折,-0.39,-0.77,台湾，锂电池，消费,,,,"单核心反核,大面数增加",分歧,分歧,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/21,"向下杀跌,大低开",,背离,是,D,冰点,-2.56,-4.71,AI应用,,,,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/24,"V杀,大高开",,背离,是,D,修复--弱,-0.1,1.88,"AI应用,军工",,,,"单核心反核,大面数增加",弱转强,中规中矩,2,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/25,向上大阳,,共振,是,D,修复--中等,0.98,1.86,AI，电池，科技，医药,,,,"多核心反核,大面数减少",分歧,加速,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/26,"宽幅震荡,震荡开",,震荡,是,D,混沌分歧,41,-1.01,AI，科技，医药,,,,"多核心反核,大面数增加",分歧,中规中矩,2,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/27,"小步碎阳,震荡开",,震荡,是,D,混沌分歧,0.1,1.09,谷歌硬件，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/11/28,"小步碎阳,震荡开",,震荡,是,D,修复--中等,0.32,1.6,消费，航天,,,,"多核心反核,大面数减少",加速,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/1,"向上大阳,震荡开",,震荡,是,D,加速,1.02,-0.19,消费，航天，AI手机,,,,"多核心反核,大面数减少",加速,加速,3,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/2,"向下杀跌,震荡开",,震荡,是,D,高潮,-0.51,-0.26,台湾，航天，AI手机，消费,,,,"多核心反核,大面数减少",弱转强,中规中矩,2,买入核心,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/3,"宽幅震荡,震荡开",,震荡,是,D,小退潮,-0.55,-1.08,航天，台湾，医药,,,,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/4,"宽幅震荡,震荡开",,震荡,是,D,修复--弱,0.23,-2.07,航天，台湾，机器人，芯片,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/5,"向上大阳,震荡开",,共振,是,A,修复--强,0.58,1.64,台湾，航天，金融,,,,"多核心反核,无大面",加速,中规中矩,4,买入超预期,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/8,"向上大阳,大高开",,共振,是,A,主升--加速,0.72,0.78,台湾，航天，光通信,,,,"单核心反核,无大面",分歧,加速,2,买入1进2试错,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/9,"向下阴跌,震荡开",,震荡,是,A,主升--分歧,-0.49,-0.71,台湾，航天，光通信，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
,2025/12/10,"V杀,震荡开",,震荡,是,A,修复--弱,0.15,-1.25,台湾，航天，光通信，消费,,,,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,,,,,,,,,,,,,,,,,,,,,
